أهلا	Hello
الحد الأدنى	Minimum
Minimum	الحد الأدنى
متاح	Available
Available	متاح
غير متاح	is not available
is not available	غير متاح
مفتوح	is open
is open	مفتوح
مغلق	Closed
Closed	مغلق
مقفل	locked
locked	مقفل
جاهز	Ready
Ready	جاهز
غير جاهز	is not ready
is not ready	غير جاهز
مكتمل	Complete
Complete	مكتمل
غير مكتمل	Incomplete
Incomplete	غير مكتمل
جديد	New
New	جديد
قديم	Old
Old	قديم
مهم	Important
Important	مهم
غير مهم	Not important
Not important	غير مهم
سهل	Easy
Easy	سهل
صعب	Difficult
Difficult	صعب
سريع	Fast
Fast	سريع
بطيء	Slow
Slow	بطيء
قريب	is close
is close	قريب
بعيد	far away
far away	بعيد
هنا	here
here	هنا
هناك	There
There	هناك
في الداخل	inside
inside	في الداخل
في الخارج	abroad
abroad	في الخارج
في الأعلى	at the top
at the top	في الأعلى
في الأسفل	below
below	في الأسفل
في المنتصف	in the middle
in the middle	في المنتصف
على اليمين	on the right
on the right	على اليمين
على اليسار	on the left
on the left	على اليسار
أمامك	in front of you
in front of you	أمامك
خلفك	Behind you
Behind you	خلفك
بجانبك	by your side
by your side	بجانبك
قريب منك	near you
near you	قريب منك
بعيد عنك	far from you
far from you	بعيد عنك
الآن	now
now	الآن
لاحقا	Later
Later	لاحقا
اليوم	Today
Today	اليوم
غدا	Tomorrow
Tomorrow	غدا
أمس	Yesterday
Yesterday	أمس
هذا الصباح	this morning
this morning	هذا الصباح
هذا المساء	this evening
this evening	هذا المساء
هذه الليلة	Tonight
Tonight	هذه الليلة
بعد قليل	Soon
Soon	بعد قليل
منذ قليل	A while ago
A while ago	منذ قليل
في الحال	Right away
Right away	في الحال
في وقت لاحق	Later
Later	في وقت لاحق
قبل قليل	A while ago
A while ago	قبل قليل
مرة أخرى	again
again	مرة أخرى
لأول مرة	for the first time
for the first time	لأول مرة
في النهاية	In the end
In the end	في النهاية
في البداية	In the beginning
In the beginning	في البداية
في المنتصف	in the middle
in the middle	في المنتصف
في الطريق	On the way
On the way	في الطريق
في مكان آخر	elsewhere
elsewhere	في مكان آخر
في نفس المكان	in the same place
in the same place	في نفس المكان
في مكان آمن	in a safe place
in a safe place	في مكان آمن
في مكان قريب	nearby
nearby	في مكان قريب
في مكان بعيد	in a far away place
in a far away place	في مكان بعيد
كل شيء	Everything
Everything	كل شيء
لا شيء	Nothing
Nothing	لا شيء
شيء آخر	Something else
Something else	شيء آخر
شيء مهم	Something important
Something important	شيء مهم
شيء غريب	Something strange
Something strange	شيء غريب
شيء جديد	Something new
Something new	شيء جديد
شيء قديم	Something old
Something old	شيء قديم
لا بأس	That's okay
That's okay	لا بأس
لا مشكلة	No problem
No problem	لا مشكلة
لا تقلق	Don't worry
Don't worry	لا تقلق
الأمر بسيط	It's simple
It's simple	الأمر بسيط
الأمر صعب	It's difficult
It's difficult	الأمر صعب
الأمر مهم	It's important
It's important	الأمر مهم
الأمر خطير	It's dangerous
It's dangerous	الأمر خطير
الأمر آمن	It's safe
It's safe	الأمر آمن
الأمر انتهى	It's over
It's over	الأمر انتهى
بدأ الأمر	It started
It started	بدأ الأمر
انتهى الأمر	It's over
It's over	انتهى الأمر
كل شيء جاهز	Everything is ready
Everything is ready	كل شيء جاهز
كل شيء بخير	Everything is fine
Everything is fine	كل شيء بخير
كل شيء واضح	Everything is clear
Everything is clear	كل شيء واضح
كل شيء صحيح	It's all true
It's all true	كل شيء صحيح
هناك خطأ	There is an error
There is an error	هناك خطأ
هناك خطر	There is danger
There is danger	هناك خطر
هناك مشكلة	There is a problem
There is a problem	هناك مشكلة
هناك شيء هنا	There's something here
There's something here	هناك شيء هنا
هناك شخص هنا	There's someone here
There's someone here	هناك شخص هنا
لا يوجد أحد	There is no one
There is no one	لا يوجد أحد
لا يوجد شيء	There is nothing
There is nothing	لا يوجد شيء
وجدت ما أبحث عنه	I found what I was looking for
I found what I was looking for	وجدت ما أبحث عنه
لم أجد شيئا	I couldn't find anything
I couldn't find anything	لم أجد شيئا
بحثت في كل مكان	I looked everywhere
I looked everywhere	بحثت في كل مكان
أين أجد هذا	Where can I find this?
Where can I find this?	أين أجد هذا
كيف أستخدم هذا	How do I use this
How do I use this	كيف أستخدم هذا
كيف أفعل ذلك	How do I do that?
How do I do that?	كيف أفعل ذلك
ماذا أفعل الآن	What do I do now?
What do I do now?	ماذا أفعل الآن
ماذا يحدث	What's happening?
What's happening?	ماذا يحدث
ماذا سيحدث	What will happen?
What will happen?	ماذا سيحدث
متى ينتهي الأمر	When will it end?
When will it end?	متى ينتهي الأمر
متى يبدأ الأمر	When does it start?
When does it start?	متى يبدأ الأمر
أين نذهب	Where do we go?
Where do we go?	أين نذهب
كيف نصل إلى هناك	How to get there
How to get there	كيف نصل إلى هناك
هل الطريق آمن	Is the road safe?
Is the road safe?	هل الطريق آمن
الطريق مفتوح	The road is open
The road is open	الطريق مفتوح
الطريق مغلق	The road is closed
The road is closed	الطريق مغلق
الطريق مزدحم	The road is crowded
The road is crowded	الطريق مزدحم
الطريق فارغ	The road is empty
The road is empty	الطريق فارغ
انتظر عند الباب	Wait at the door
Wait at the door	انتظر عند الباب
قابلني هنا	Meet me here
Meet me here	قابلني هنا
قابلني هناك	Meet me there
Meet me there	قابلني هناك
سأكون هنا	I'll be here
I'll be here	سأكون هنا
سأكون هناك	I'll be there
I'll be there	سأكون هناك
أنا في الطريق	I'm on my way
I'm on my way	أنا في الطريق
أنا وصلت	I have arrived
I have arrived	أنا وصلت
أنا جاهز	I'm ready
I'm ready	أنا جاهز
نحن جاهزون	We are ready
We are ready	نحن جاهزون
لقد بدأنا	We have begun
We have begun	لقد بدأنا
لقد انتهينا	We're done
We're done	لقد انتهينا
سنبدأ الآن	We'll start now
We'll start now	سنبدأ الآن
سنعود لاحقا	We'll come back later
We'll come back later	سنعود لاحقا
سنلتقي لاحقا	We'll meet later
We'll meet later	سنلتقي لاحقا
سأعود قريبا	I'll be back soon
I'll be back soon	سأعود قريبا
سأخبرك لاحقا	I'll tell you later
I'll tell you later	سأخبرك لاحقا
سأساعدك لاحقا	I'll help you later
I'll help you later	سأساعدك لاحقا
يمكنك البدء	You can start
You can start	يمكنك البدء
يمكنك المتابعة	You can continue
You can continue	يمكنك المتابعة
يمكنك الدخول	You can enter
You can enter	يمكنك الدخول
يمكنك الخروج	You can exit
You can exit	يمكنك الخروج
يمكنك المحاولة	You can try
You can try	يمكنك المحاولة
لا يمكنك الدخول	You can't enter
You can't enter	لا يمكنك الدخول
لا يمكنك الخروج	You can't get out
You can't get out	لا يمكنك الخروج
لا يمكنك المتابعة	You cannot continue
You cannot continue	لا يمكنك المتابعة
لا يمكنك فعل ذلك	You can't do that
You can't do that	لا يمكنك فعل ذلك
يمكننا فعل ذلك	We can do that
We can do that	يمكننا فعل ذلك
يمكننا البدء	We can start
We can start	يمكننا البدء
يمكننا المتابعة	We can continue
We can continue	يمكننا المتابعة
يجب أن تبدأ	should start
should start	يجب أن تبدأ
يجب أن تنتظر	You'll have to wait
You'll have to wait	يجب أن تنتظر
يجب أن تذهب	You must go
You must go	يجب أن تذهب
يجب أن تعود	should come back
should come back	يجب أن تعود
يجب أن تنتبه	You should pay attention
You should pay attention	يجب أن تنتبه
يجب أن تتوقف	You must stop
You must stop	يجب أن تتوقف
يجب أن تتبعني	You must follow me
You must follow me	يجب أن تتبعني
يجب أن تختار	You must choose
You must choose	يجب أن تختار
يجب أن تحفظ	must be saved
must be saved	يجب أن تحفظ
يجب أن تتحقق	must be achieved
must be achieved	يجب أن تتحقق
لا يجب أن تفعل ذلك	You shouldn't do that
You shouldn't do that	لا يجب أن تفعل ذلك
حاول بهدوء	Try calmly
Try calmly	حاول بهدوء
اعمل بسرعة	Work quickly
Work quickly	اعمل بسرعة
اعمل بحذر	Work with caution
Work with caution	اعمل بحذر
تحقق من ذلك	Check it out
Check it out	تحقق من ذلك
تحقق من الملف	Check the file
Check the file	تحقق من الملف
تحقق من البيانات	Verify the data
Verify the data	تحقق من البيانات
تحقق من الإعدادات	Check the settings
Check the settings	تحقق من الإعدادات
راجع المعلومات	See the information
See the information	راجع المعلومات
راجع الملف	See the file
See the file	راجع الملف
راجع التغييرات	Review the changes
Review the changes	راجع التغييرات
احفظ التغييرات	Save the changes
